"p","U:0","U:1","U:2","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.3781739473,0.04776479676,3.230391026,-2.178022493e-21,2051,1,13.51373577,23.96999931,-23.10495567,0
0.3636332154,0.04992881045,3.225533485,-2.350073839e-21,2051,1,13.58268356,23.97750092,-23.03641701,0
0.3489645123,0.05186243355,3.209761858,-2.899914686e-21,8634,1,13.65163136,23.98500061,-22.96787834,0
0.3341737688,0.05374174938,3.192596436,-3.29244541e-21,8634,1,13.72057915,23.99250031,-22.89933968,0
0.3192639649,0.05559719726,3.175568581,-3.432627886e-21,8634,1,13.78952694,24,-22.83080101,0
0.3042351604,0.05742879957,3.158678532,-3.320676987e-21,8634,1,13.85847473,24.00749969,-22.76226234,0
0.2890874743,0.05923657492,3.141925812,-2.956806577e-21,8634,1,13.92742252,24.01499939,-22.69372368,0
0.2738209963,0.06102054566,3.125310659,-2.341232134e-21,8634,1,13.99637032,24.02249908,-22.62518501,0
0.257818073,0.0629548654,3.109958887,-1.601780831e-21,4251,1,14.0653162,24.03000069,-22.55664825,0
0.2396205515,0.06547001004,3.098674059,-1.221633784e-21,4251,1,14.13426399,24.03750038,-22.48810959,0
0.2212745249,0.06799986213,3.087777376,-8.918498392e-22,4251,1,14.20321178,24.04500008,-22.41957092,0
0.2027801424,0.07054439932,3.077268362,-6.123842136e-22,4251,1,14.27215958,24.05249977,-22.35103226,0
0.184137553,0.07310361415,3.067146778,-3.831923528e-22,4251,1,14.34110737,24.05999947,-22.28249359,0
0.1653468758,0.07567748427,3.057412386,-2.042294493e-22,4251,1,14.41005516,24.06749916,-22.21395493,0
0.1464079469,0.07826581597,3.048059225,-7.544268112e-23,4251,1,14.47900295,24.07500076,-22.14541626,0
0.1273214668,0.08086897433,3.039097786,3.190854206e-24,4251,1,14.54795074,24.08250046,-22.07687759,0
0.1044290289,0.08437701315,3.025563717,-3.533936559e-22,8624,1,14.61689854,24.09000015,-22.00833893,0
0.07294467837,0.08990883082,3.000667572,-1.592782011e-21,8624,1,14.68584633,24.09749985,-21.93980026,0
0.04093094915,0.09547826648,2.975178719,-2.836521874e-21,8624,1,14.75479412,24.10499954,-21.8712616,0
0.008388299495,0.1010852903,2.949097872,-4.084609787e-21,8624,1,14.82374191,24.11249924,-21.80272293,0
-0.02468209714,0.1067294106,2.922420502,-5.336964062e-21,8624,1,14.8926878,24.12000084,-21.73418617,0
-0.0582812503,0.1124115139,2.89515686,-6.593736159e-21,8624,1,14.96163559,24.12750053,-21.66564751,0
-0.09240794182,0.1181311086,2.867302895,-7.854844897e-21,8624,1,15.03058338,24.13500023,-21.59710884,0
-0.1270616949,0.1238881499,2.838858604,-9.120285831e-21,8624,1,15.09953117,24.14249992,-21.52857018,0
-0.164410308,0.1313849539,2.811493874,-1.23137321e-20,4241,1,15.16847897,24.14999962,-21.46003151,0
-0.2000971884,0.1389615387,2.809248924,-1.081588896e-20,4241,1,15.23742676,24.15749931,-21.39149284,0
